label,Anatomy,,,Isomap-theta-123,,,Isomap-theta-dist-123,,,Q,Close-To-Center-Clustering,Close-To-Center-Distance-Clustering
215,-26,27,48,-25.15982773,3.860195351,-23.23288131,5.301754253,1.974170129,0.660410043,1,2,2
216,12,1,75,32.14762609,-28.31794865,-2.802505363,-7.171955668,1.909346833,2.922180808,2,2,2
217,-29,-84,24,15.7832994,40.26787709,-11.98658248,-2.353805295,-3.960603736,-6.592352497,4,2,2
218,66,-15,31,38.03922358,-16.61705018,-10.57400021,-8.600321737,3.828431467,0.750490147,2,2,2
219,36,-78,41,-13.37972784,8.303825225,-30.96369631,4.737941041,0.59293265,-4.121331335,1,2,2
220,51,21,41,-26.5990967,-26.89952349,-9.633716707,8.867946054,4.289449237,2.274688028,1,2,2
221,-39,44,32,11.8817048,-18.50269125,-37.97208137,-3.558619059,7.714168281,-2.192401275,3,2,2
222,-52,-32,1,-17.20675715,2.27100515,30.11966802,1.611466548,-5.847634398,2.084851662,1,2,2
223,-3,-15,56,33.96378811,-23.4688736,12.59987585,-7.34439361,-0.535960443,3.563995284,2,2,2
224,-4,-30,-42,-22.35879687,18.73107724,-6.749934204,3.593708009,-0.327583429,-1.85066961,1,2,2
225,61,11,27,31.93009067,-23.67084035,-12.91711918,-7.442323379,3.406169867,2.313346488,2,2,2
226,-6,45,24,-35.09289756,-14.09902185,-5.092431465,5.906245774,0.560894451,3.025075295,1,2,2
227,-10,-51,19,-17.03882148,22.40309683,29.36116706,4.937727286,-6.446084551,-0.722891818,1,2,2
228,23,68,5,-41.90927636,-15.7277283,5.379542533,8.441743208,0.975175758,1.494139108,1,2,2
229,-30,30,8,29.02563431,-12.55596704,-4.968788659,-5.971589978,1.890776703,-0.055930413,2,2,2
230,3,-15,32,-20.42409302,-1.178945848,-10.8094015,4.039676467,1.973846498,0.15553478,1,1,2
231,-12,29,63,-31.32740245,-17.05555611,-7.611762428,9.838646649,1.209244084,-0.653592409,1,2,2
232,-5,-69,57,18.23846979,25.25526417,-20.50137515,-0.765267846,-0.519006668,-5.275315265,4,2,2
233,33,11,58,-3.401469963,-11.3752031,-35.0641269,0.953634271,5.76061494,-0.0916243,3,2,2
234,-30,58,2,-35.91222691,-10.34926834,-16.99967638,6.981180855,1.932814189,0.310550783,1,2,2
235,25,-54,10,-2.276788559,38.33310365,30.08710401,-1.365355191,-4.896318718,-0.995688003,4,2,2
236,-44,-45,48,0.563575357,-3.53400575,-48.65284059,0.730816712,8.441203939,-2.91415017,3,2,2
237,53,-33,-24,-3.933685046,4.585983213,-5.443186501,-1.104274756,-0.008268257,1.050563779,3,1,1
238,-8,48,-21,-21.05481378,-30.80667175,18.51518106,0.428259396,0.224866916,4.25823493,1,2,2
239,-60,-40,31,5.306533417,-1.951756269,-1.259982164,-0.755152839,0.273530186,-0.581127728,4,1,1
240,15,-64,64,29.99215697,13.74681165,-20.65981388,-7.16455717,1.944014107,-5.616381662,4,2,2
241,55,-16,53,32.46577696,-33.73094717,12.84265551,-6.199727159,-1.194615375,4.834728346,2,2,2
242,-47,-1,-40,-34.90263218,-2.491782376,31.32922266,4.915236739,-2.327433132,2.091392985,1,2,2
243,47,6,33,21.20706482,-15.46043075,-20.18736164,-4.875625258,3.666668622,-0.497983333,3,2,2
244,-61,-27,-18,-28.34649836,-7.071380384,-27.55421684,5.344514405,5.591575884,0.090992931,1,2,2
245,29,-85,-17,-12.23719828,46.02039663,-33.84521697,3.374381451,-0.956435446,-6.37080618,4,3,2
246,23,38,54,-44.57574747,-5.131901767,-3.392802672,12.88028534,0.596798067,-0.031581425,1,2,3
247,-31,-27,66,40.09630689,-22.27287894,16.23592134,-7.855403455,-1.19987119,3.493009371,2,2,2
248,4,-21,76,45.61506652,-31.69171299,14.91805876,-9.049565065,0.087173989,3.967639809,2,2,2
249,14,-69,-7,23.41565454,40.13963411,7.195318864,-7.056609467,-2.937070071,-3.69940418,4,2,2
250,32,-87,25,13.19811918,46.39841106,-8.396584168,-3.028372148,-3.440902064,-6.369781129,4,3,2
