label,Anatomy,,,Isomap-25,,,Isomap-50,,,Isomap-75,,,Isomap-100,,
59,13,11,45,3706.110135,757.5968138,-1366.929517,3893.855791,1188.299365,716.691161,3314.932849,1245.460032,-530.31515,3048.165536,1295.854085,298.7853049
60,-18,-37,-25,-2443.702644,-623.6369087,1154.040675,-2220.486867,-757.4379573,-858.1125065,-2215.579141,-885.5281824,686.8539385,-2180.789459,-1056.046989,-477.6188902
61,-36,-41,54,3852.168034,1875.202275,3952.807604,2866.051667,-303.3850232,-4064.691654,3129.688772,-85.69553628,3777.251135,2832.674378,-594.8435819,-3546.708971
62,60,15,20,-2044.587249,672.8827656,-3275.157967,-1809.218217,1255.341819,2535.109776,-1701.481178,1264.109785,-2211.664207,-1836.422353,1493.379408,1893.960109
63,-26,20,-6,-1545.817911,-2835.103646,525.4348998,-1680.484257,-2569.474072,362.0908857,-1300.360625,-2577.073311,-386.1850239,-1184.074048,-2208.285752,751.2858945
64,-35,25,32,952.3986571,-3680.745267,446.6748632,795.7643083,-3534.103806,522.4553071,900.2646962,-3248.304224,-625.1634397,852.2466618,-2821.858945,1268.631703
65,51,-45,-36,-2661.060829,999.9690053,202.6625195,-2371.370461,553.7482275,-613.241537,-2219.270769,494.9693353,517.4288171,-2286.710271,370.5191153,-421.6717261
66,7,36,-25,-1825.476883,-1300.523335,-2166.357279,-1550.504961,-492.6202163,2315.722101,-1154.433094,-458.4845304,-2389.135665,-1083.948577,-35.89886653,2052.798514
67,27,-43,-9,-2740.579894,188.4564884,608.6006171,-2558.027691,248.9329266,-491.2599697,-2513.744662,51.44512111,403.7403202,-2509.511342,-183.1486696,-413.6023078
68,36,-78,21,-556.9041133,3623.72453,224.0542083,-720.9909448,3557.800856,-504.1199446,-626.3891418,3203.197402,642.3216251,-758.0263478,3029.003889,-1055.894738
69,28,-46,69,512.5876735,4212.812011,1165.502633,179.0675376,3174.644364,-2111.854481,58.38620996,3138.367655,2235.728971,158.9020976,2784.260781,-2499.817192
70,3,39,33,3530.941744,-1584.755774,-3027.471906,3092.008207,-734.8639355,2859.545231,3011.244851,-442.7670161,-2538.904516,2919.975249,80.31476006,2447.928896
71,63,-32,45,2758.003374,5136.614555,-2055.67604,2543.040412,5047.148684,755.472796,2140.353411,4984.715975,-472.0680236,1872.712146,4938.73106,-479.3146745
