label,Anatomy,,,Isomap-25,,,Isomap-50,,,Isomap-75,,,Isomap-100,,,Q
90,33,33,38,11.96134216,27.12959835,-56.8431953,10.77433398,27.26289352,-50.53715768,6.197322205,25.34393326,-46.20052339,8.576002713,27.30037753,-38.28944088,9
91,45,-73,39,-17.86969701,51.780322,12.60009369,-16.32003971,45.80990385,9.154623596,-9.528790759,43.41174991,9.505934228,-11.94600476,42.27461404,13.93026468,5
92,-23,60,29,62.02929694,-47.19025462,-43.44732704,57.8613731,-33.40617312,-47.85496286,56.63587169,-30.7588778,-44.30365544,61.44283726,-20.18615029,-41.94508042,1
93,9,21,2,-31.89773102,-9.022829922,-22.17755775,-27.728277,-8.818226862,-21.41480653,-24.74847405,-9.147811002,-19.82105268,-23.45520601,-7.593618241,-20.33125975,11
94,-9,-47,11,-23.77639508,-1.047041287,20.09462758,-24.75911963,-1.845126945,21.44007241,-25.79176822,-2.790003969,18.60786,-25.33585359,-5.855905648,19.0667503,16
95,43,-26,63,32.04765329,69.7646192,4.220078646,30.94452246,63.01416458,7.425016528,19.64314922,66.01115905,6.755682958,21.17130964,63.36548237,18.39911965,17
96,-3,63,33,46.43241299,-25.5705853,-41.99859849,39.87217604,-23.0384153,-40.62627942,40.96589105,-24.03689634,-33.70768939,38.23267411,-17.92601971,-36.27468269,8
97,33,16,-36,-26.68797248,13.78253128,-21.16097769,-20.55540277,9.371321721,-18.30098718,-17.9641412,10.41276596,-15.70725787,-17.65456791,13.81786457,-13.84127309,10
98,5,-48,69,32.75353264,47.54768809,42.83417514,28.24329972,45.47959839,36.63310771,26.85570653,40.50282614,36.04497735,28.82845109,34.57157709,35.84451346,5
99,-38,-23,46,71.75338782,-13.85936264,43.7936879,65.49781174,-8.980536178,41.07318477,57.73586543,-6.174360123,42.94720876,55.39538169,-11.16098538,35.42416968,2
100,67,-12,-18,-37.70142434,17.66078167,-17.57204936,-31.14918396,14.97108746,-14.86594052,-29.22097221,13.34605385,-15.74783512,-28.70774555,13.32074104,-12.62368955,10
101,-6,25,0,-23.71062894,-28.57484617,-12.29061705,-23.96393441,-22.34385244,-13.66772298,-20.74157467,-24.2826578,-14.95037286,-20.68163716,-20.40783745,-17.8144822,13
102,-36,-79,-8,-26.90666034,-7.504954627,26.93607043,-22.97140613,-7.166655462,27.23168633,-22.21715899,-7.954674846,18.74182546,-21.39973037,-7.58431841,18.19659351,15
103,-61,-45,7,-12.79361784,-27.9007947,30.5139915,-9.8104509,-28.47008225,23.36116993,-8.119866998,-25.41751499,22.41109193,-6.609069701,-27.423342,18.5270158,15
104,-51,-5,-36,-5.976397795,-38.30963456,5.264911181,-5.422536066,-27.92452787,-0.252007753,-1.262785964,-26.99281721,2.637518974,0.048439096,-23.94387645,-1.450846445,13
105,60,-63,3,-36.40416675,24.62943362,-11.90373262,-30.30090711,19.75639751,-7.903472561,-27.20372654,20.74242668,-9.249988411,-28.31237658,19.23810511,-7.821480455,5
106,25,22,58,56.63952615,25.88533627,-37.40593933,55.98431727,28.37187369,-32.13666088,50.59500399,27.66016523,-29.23902282,51.20756354,24.06994291,-24.09640361,9
107,-7,-21,-29,-32.68675154,-8.522977927,7.227052658,-31.69955689,-8.473618133,5.640001816,-30.24729296,-10.30090864,4.746206473,-29.59509726,-10.32479115,2.841055673,4
108,-32,-3,66,68.21147545,-18.36321626,34.35724234,63.49508104,-25.14216968,26.61946297,58.95843092,-19.18881418,33.54845772,53.80755445,-22.53874919,29.57938601,2
109,-34,-1,-44,-18.55205054,-38.35518547,2.707462799,-14.18798943,-36.04916387,1.329218003,-11.06606432,-31.90842647,-0.106490423,-9.361647789,-32.57535193,-5.819267417,13
110,39,0,50,35.7695351,49.17583135,-38.40207591,36.51637963,50.0218934,-28.4131369,33.51822173,48.85795377,-25.14838719,23.6537487,49.8721276,-28.11697213,9
111,-30,41,-14,-6.637950882,-47.4993017,-6.939337615,-4.221504881,-38.53008368,-9.933663885,0.856793933,-37.36003051,-7.913925677,-0.857442563,-34.0552396,-11.08978204,13
112,34,30,4,-21.54783106,10.50213765,-30.52042079,-18.52585631,14.14988652,-29.73649724,-16.93597863,12.49810496,-29.55797577,-16.12952275,15.92285506,-29.67904826,14
113,24,-61,3,-31.66079902,8.326038127,13.21231601,-30.05649596,7.015103833,15.29336415,-28.99396927,4.653546466,15.1394874,-29.37632152,2.224074747,15.21323448,3
114,24,52,-12,3.380552242,-13.89837261,-48.07929689,3.004986401,-7.220733181,-49.80731948,4.398406135,-6.325606511,-48.01602596,5.969322811,-1.85565877,-43.24358203,8
115,-5,18,36,52.90936068,8.37017482,8.0087046,40.82775523,8.289416006,12.0109913,42.03684718,4.254728127,15.03933548,35.27320163,0.050561004,10.83587866,7
116,-42,-65,3,-27.89135538,-12.8339481,30.77198854,-23.09086695,-14.07675015,24.02459069,-20.99607418,-15.05891397,23.5704319,-20.24427248,-12.91966328,18.83586569,15
117,18,-81,42,-5.339487287,40.14259231,32.64429227,-8.530022708,34.79239366,33.59886338,-10.61664117,31.9430363,36.62184866,-11.11319204,25.9597196,38.26435902,5
118,-6,-81,19,-16.45401233,13.47917133,44.07096195,-13.73878545,13.34807096,40.16477675,-13.95937329,10.83770349,35.39159904,-14.79489499,6.027030949,37.26318931,16
119,-54,-51,39,51.52058177,-7.145741622,60.79574804,42.68673883,-5.484380292,52.08219902,45.4043977,-4.853292612,53.52759119,45.79520485,-9.550948732,50.12261537,2
120,-44,28,30,20.87888595,-47.43240893,-8.782467036,14.34710334,-49.45823543,-7.897385988,14.96078458,-45.62190317,-6.698571134,11.05587867,-44.42380445,-17.98619599,1
121,10,25,-11,-32.1698921,-9.107636223,-24.55794603,-30.28446504,-5.872905592,-23.70368054,-28.57284256,-3.993028644,-22.69543938,-27.20920703,-3.555690585,-22.07268327,11
122,63,-48,-12,-35.84471423,18.30116142,-15.88698654,-29.87790196,14.63897311,-13.40771766,-28.47541427,15.27045742,-12.27941861,-27.11730049,16.89411255,-7.240618248,10
123,-26,-42,69,35.44244663,19.61612555,58.93988404,21.44474707,11.80931829,54.75585799,16.22246744,14.84517276,54.23221759,28.72788075,10.72521016,50.84220014,2
124,30,-1,13,-29.81085004,12.44613361,-32.11989382,-26.57617626,13.72611473,-28.46813168,-22.28604481,12.98539729,-25.80890411,-21.64148751,14.00106689,-23.18940932,14
125,-16,-3,66,47.46488468,4.161016921,19.73806391,34.93475913,2.683940146,17.35189211,31.89567306,6.156831931,18.456192,29.93087888,-2.29597425,19.40169641,7
126,16,-32,51,47.71504832,31.73251565,19.34075353,44.04458187,26.48117832,23.40143213,39.36572607,26.59479496,18.89729459,35.4164895,18.73197564,19.3316299,7
127,27,63,15,52.17757905,-6.949587291,-83.27965831,58.61984322,-0.757137294,-64.27057037,59.39257952,2.664710921,-59.1312731,60.37529148,17.93144866,-56.22638999,9
128,-39,-4,-9,-27.20621499,-32.75336207,7.674687542,-24.32748629,-28.5592175,7.739448492,-24.37109201,-30.86463717,4.116226218,-22.81086478,-30.21079589,3.223495188,13
129,47,-81,10,-19.43971323,22.31531961,-3.606878174,-20.36230755,19.75361795,-6.757305151,-21.05091795,23.15165709,-5.085479424,-19.56112769,21.58385266,-3.821404327,5
130,-45,-13,14,3.032338155,-54.84929374,17.80687111,4.456689227,-46.45166996,8.464982691,6.822282594,-43.99150668,7.807990021,6.351772858,-43.6228821,3.259783474,6
131,10,-18,-15,-33.8436256,-4.621944946,1.001671337,-32.74545019,-4.902530702,1.495083045,-31.74509645,-6.253875454,0.329555696,-31.81789522,-6.614607397,-0.519288021,4
132,-7,22,11,-12.547075,-39.95300936,-11.69264562,-10.45951118,-29.72608966,-14.87781525,-6.871499931,-26.86018535,-16.33787709,-4.050160169,-26.77791033,-17.62219191,13
133,-24,-63,-8,-30.84909906,-8.250845048,18.35127434,-29.42622111,-8.854076218,20.28465873,-28.77165124,-8.162103052,15.09142628,-27.90752656,-11.36583195,13.46989606,12
134,51,-25,18,-3.602228485,52.71575524,-35.1477676,-6.758598219,42.22859422,-32.94032432,-3.434304413,40.59145097,-29.02915439,-5.443789239,42.00758131,-26.52766363,17
135,-27,-69,53,24.43745751,16.27359525,57.91423293,20.74929618,10.56763937,54.46601264,15.85854973,14.2108199,53.27641982,27.14697103,10.94241605,50.3000776,2
136,51,-20,-20,-40.41993799,12.95778586,-14.63119921,-37.7054892,12.028099,-12.39056285,-35.71571352,10.7213253,-12.49370299,-34.62573864,10.39413449,-11.68098091,10
137,61,6,-3,-36.38305045,22.62539398,-20.94389456,-32.72805519,19.72315033,-17.11636356,-29.98980173,18.46845976,-15.42533754,-29.07523976,19.08809167,-15.01163735,14
138,-17,43,42,47.51062232,-34.70194428,-33.00377949,48.73151652,-27.57796697,-29.3601149,46.49454535,-28.40946724,-26.05030328,42.15920519,-21.78956258,-29.20725296,8
139,22,-87,-6,-34.98884206,11.76148653,14.57820286,-31.05025992,11.9933679,17.20928645,-30.24486558,8.192926468,14.24267224,-28.49101879,5.328675863,13.7166042,3
140,-28,-42,-31,-32.6516507,-14.41660238,15.86757926,-29.87459447,-13.1093432,13.09961331,-27.14033701,-13.97639149,11.13375272,-27.09826798,-14.3595635,9.716973136,12
141,14,-46,39,-4.258668652,22.78233022,38.5639529,-3.154284647,20.81921999,32.35266569,-6.065444462,19.5198921,31.45794491,-6.488548633,15.20538757,31.17481266,16
142,-48,32,23,20.7566626,-52.92310796,-7.144069708,18.87433691,-44.50702811,-10.61455568,16.40606274,-38.34510133,-9.494672527,16.30139539,-38.31529531,-12.71075804,6
143,11,34,35,60.45570449,-4.482452815,-36.97660646,51.00134435,-2.485351074,-28.50746463,50.2516591,-2.214717986,-28.3242977,48.06335025,1.173835076,-21.95640913,8
144,-63,-28,0,-18.15507602,-35.33549733,15.21676266,-11.61314703,-37.69667756,10.67713864,-9.935629518,-31.17801959,10.56782674,-10.71067772,-28.62468936,7.932463457,15
