label;Anatomy;region_name;hemisphere
2045;Left;MNI(-25:11:66);left
2046;Left;MNI(-7:-49:35);left
2047;Right;MNI(4:66:16);right
2048;Left;MNI(-60:-4:29);left
2049;Left;MNI(-16:6:-17);left
2050;Left;MNI(-22:-75:32);left
2051;Right;MNI(22:27:62);right
2052;Right;MNI(56:20:14);right
2053;Right;MNI(9:-29:-42);right
2054;Right;MNI(37:-89:-2);right
2055;Left;MNI(-50:-41:54);left
2056;Left;MNI(-17:67:-8);left
2057;Right;MNI(17:23:-14);right
2058;Right;MNI(31:57:-10);right
2059;Right;MNI(57:-36:35);right
2060;Right;MNI(57:-59:40);right
2061;Right;MNI(47:6:-31);right
2062;Left;MNI(-33:53:7);left
2063;Left;MNI(-25:0:53);left
2064;Left;MNI(-51:-11:-33);left
2065;Right;MNI(3:-57:-45);right
2066;Left;MNI(-48:-54:27);left
2067;Left;MNI(-46:5:2);left
2068;Right;MNI(33:27:-9);right
2069;Right;MNI(23:-60:-10);right
2070;Left;MNI(-37:6:54);left
2071;Left;MNI(-6:-45:55);left
2072;Right;MNI(33:-45:59);right
2073;Left;MNI(-40:45:-11);left
2074;Left;MNI(-50:-27:12);left
2075;Right;MNI(13:32:30);right
2076;Left;MNI(-25:7:-14);left
2077;Left;MNI(-31:-18:65);left
2078;Left;MNI(-15:51:38);left
2079;Right;MNI(33:42:39);right
2080;Right;MNI(13:-27:-17);right
2081;Left;MNI(-54:11:36);left
2082;Right;MNI(45:-58:22);right
2083;Left;MNI(-60:-11:-18);left
2084;Left;MNI(-44:-50:26);left
2085;Left;MNI(-24:65:19);left
2086;Left;MNI(-40:-1:-43);left
2087;Left;MNI(-15:-46:0);left
2088;Right;MNI(12:48:5);right
2089;Left;MNI(-11:26:58);left
2090;Left;MNI(-35:-56:55);left
2091;Left;MNI(-33:-26:52);left
2092;Right;MNI(24:-35:-26);right
2093;Left;MNI(-45:-42:-10);left
2094;Right;MNI(57:-6:-1);right
2095;Left;MNI(-36:12:14);left
2096;Left;MNI(-32:59:-10);left
